,Species,Host
2898,Salmonella phage brorfarstad,Salmonella enterica
2899,Salmonella phage yarpen,Salmonella enterica
2900,Salmonella phage nenneke,Salmonella enterica
2901,Salmonella phage rivia,Salmonella enterica
2902,Salmonella phage birk,Salmonella enterica
2903,Salmonella phage assan,Salmonella enterica
2904,Salmonella phage brunost,Salmonella enterica
2905,Salmonella phage ciri,Salmonella enterica
2906,Salmonella phage zoltan,Salmonella enterica
2907,Salmonella phage emhyr,Salmonella enterica
2908,Salmonella phage renfri,Salmonella enterica
2909,Salmonella phage triss,Salmonella enterica
2910,Salmonella phage phagemcphageface,Salmonella enterica
2911,Salmonella phage oldekolle,Salmonella enterica
2912,Salmonella phage bombadil,Salmonella enterica
2913,Salmonella phage wast,Salmonella enterica
2914,Salmonella phage vaffelhjerte,Salmonella enterica
2915,Salmonella phage misterkot,Salmonella enterica
2916,Salmonella phage ende,Salmonella enterica
2917,Salmonella phage beppo,Salmonella enterica
2918,Salmonella phage polluks,Salmonella enterica
2919,Salmonella phage rokbiter,Salmonella enterica
2920,Salmonella phage fuchur,Salmonella enterica
2921,Salmonella phage bastian,Salmonella enterica
2922,Salmonella phage smaug,Salmonella enterica
2923,Salmonella phage templet,Salmonella enterica
2924,Salmonella phage gmork,Salmonella enterica
2925,Salmonella phage bobsandoy,Salmonella enterica
2926,Salmonella phage oselot,Salmonella enterica
2927,Salmonella phage atrejo,Salmonella enterica
2928,Salmonella phage falkor,Salmonella enterica
2929,Salmonella phage rutana,Salmonella enterica
2930,Salmonella phage heyday,Salmonella enterica
2931,Salmonella phage allotria,Salmonella enterica
2932,Salmonella phage blauehaus,Salmonella enterica
2933,Salmonella phage aagejoakim,Salmonella enterica
2934,Salmonella phage dinky,Salmonella enterica
2935,Salmonella phage barely,Salmonella enterica
2936,Salmonella phage pertopsoe,Salmonella enterica
2937,Salmonella phage maane,Salmonella enterica
2938,Salmonella phage sidste,Salmonella enterica
2939,Salmonella phage horsemountain,Salmonella enterica
2940,Salmonella phage skrot,Salmonella enterica
2941,Salmonella phage celemicas,Salmonella enterica
2942,Poxviridae sp.,Unknown
2943,Vibrio phage ValSw3-3,Vibrio alginolyticus
2944,Vibrio phage vB_ValM-yong1,Vibrio alginolyticus
2945,Elizabethkingia phage TCUEAP1,Elizabethkingia anophelis
2946,Pseudomonas phage vB_Pae-SS2019XI,Pseudomonas aeruginosa
2947,Lactococcus phage P1532,Lactococcus lactis
2948,Salmonella phage vB_SpuP_Spp11,Salmonella sp.
2949,Escherichia phage F2,Escherichia coli
2950,Mycobacterium phage StressBall,Mycolicibacterium smegmatis MC2 155
2951,Arthrobacter phage Shoya,Arthrobacter globiformis
2952,Microbacterium phage PauloDiaboli,Microbacterium foliorum
2953,Microbacterium phage Zepp,Microbacterium foliorum
2954,Gordonia phage Skog,Gordonia terrae
2955,Mycobacterium phage Cornie,Mycolicibacterium smegmatis MC2 155
2956,Arthrobacter phage DrSierra,Arthrobacter
2957,Microbacterium phage Hubbs,Microbacterium foliorum
2958,Gordonia phage DatBoi,Gordonia terrae
2959,Mycobacterium Phage BGlluviae,Mycobacterium sp.
2960,Gordonia phage AnClar,Gordonia terrae
2961,Microbacterium phage RubyRalph,Microbacterium paraoxydans
2962,Escherichia phage vB_EcoS_XY1,Escherichia coli
2963,Escherichia phage vB_EcoS_XY2,Escherichia coli
2964,Salmonella phage Chennai,Salmonella enterica subsp. enterica serovar Typhi
2965,Salmonella phage L6jm,Salmonella enterica
2966,Mycobacterium phage Skippy,Mycolicibacterium smegmatis MC2 155
2967,Mycobacterium phage BodEinwohner17,Mycolicibacterium smegmatis MC2 155
2968,Mycobacterium phage Ximenita,Mycolicibacterium smegmatis MC2 155
2969,Rhodococcus phage Dinger,Rhodococcus erythropolis
2970,Mycobacterium phage Jiminy,Mycolicibacterium smegmatis MC2 155
2971,Mycobacterium phage Eponine,Mycolicibacterium smegmatis MC2 155
2972,Gordonia phage John316,Gordonia terrae
2973,Citrobacter phage IME-JL8,Citrobacter freundii
2974,Salmonella phage P46FS4,Salmonella
2975,Tenacibaculum phage JQ,Tenacibaculum geojense
2976,Pseudoalteromonas phage XC,Pseudoalteromonas hodoensis
2977,Pseudoalteromonas phage AL,Pseudoalteromonas marina
2978,Vibrio phage Saratov-12,Vibrio cholerae
2979,Sporosarcina phage Lietuvens,Sporosarcina aquimarina
2980,Salmonella phage SE_PL,Salmonella enterica subsp. enterica serovar Typhi
2981,Ochrobactrum phage vB_OspM_OC,Ochrobactrum sp. POC9
2982,Ochrobactrum phage vB_OspP_OH,Ochrobactrum sp. POC9
2983,Vibrio phage Cilsick,Vibrio harveyi
2984,Vibrio phage Chazly21,Vibrio harveyi
2985,Vibrio phage OWB,Vibrio parahaemolyticus
2986,Escherichia phage mio,Escherichia coli
2987,Escherichia virus T7,Escherichia
2988,Burkholderia phage PE067,Burkholderia thailandensis
2989,Xylella phage Cota,Xylella
2990,Microbacterium phage Iamgroot,Microbacterium
2991,Staphylococcus phage Sb1_8383,Staphylococcus aureus
2992,Staphylococcus phage Sb1M_6168,Staphylococcus aureus
2993,Staphylococcus phage Sb1M_9832,Staphylococcus aureus
2994,Bifidobacterium phage BadAztec1,Bifidobacterium asteroides
2995,Bifidobacterium phage BlindUri1,Bifidobacterium asteroides
2996,Bifidobacterium phage BlindBasel1,Bifidobacterium asteroides
2997,Bifidobacterium phage BitterVaud1,Bifidobacterium asteroides
2998,Bifidobacterium phage BigBern1,Bifidobacterium asteroides
2999,Bifidobacterium phage BadAztec4,Bifidobacterium asteroides
3000,Bifidobacterium phage BadAztec2,Bifidobacterium asteroides
3001,Bifidobacterium phage BadAargau2,Bifidobacterium asteroides
3002,Pseudomonas phage KP1,Pseudomonas sp.
3003,Salmonella phage BPSELC-1,Salmonella enterica subsp. enterica serovar Enteritidis
3004,Escherichia phage phiv142-3,Escherichia coli
3005,Escherichia phage RDN8.1,Escherichia coli
3006,Edwardsiella phage ETP-1,Edwardsiella tarda
3007,Pseudomonas virus Pf1,Unknown
3008,Vibrio phage Seahorse,Vibrio parahaemolyticus
3009,Escherichia phage fp01,Escherichia coli
3010,Streptomyces phage BRock,Streptomyces
3011,Lactococcus phage vB_Llc_bIBB12,Lactococcus
3012,Lactococcus phage vB_LLc_bIBB14,Lactococcus
3013,Lactococcus phage vB_Llc_bIBB27,Lactococcus
3014,Lactococcus phage vB_Llc_bIBB94p4,Lactococcus lactis
3015,Lactococcus phage vB_Llc_bIBBA3,Lactococcus lactis
3016,Lactococcus phage vB_Llc_bIBBAm4,Lactococcus
3017,Lactococcus phage vB_Llc_bIBBD4,Lactococcus lactis
3018,Lactococcus phage vB_Llc_bIBBE1,Lactococcus lactis
3019,Lactococcus phage vB_Llc_bIBBL81,Lactococcus
3020,Lactococcus phage vB_Llc_bIBBp6/4,Lactococcus lactis
3021,Acinetobacter phage AbTJ,Acinetobacter baumannii MDR-TJ
3022,Escherichia virus T4,Unknown
3023,Enterococcus virus IMEEF1,Enterococcus
3024,Enterococcus phage 163,Enterococcus
3025,Brucella phage EF4,Brucella abortus S19
3026,Staphylococcus phage f2b1,Staphylococcus aureus
3027,Streptomyces phage JXY1,Streptomyces lividans
3028,Listeria phage LP-018,Listeria monocytogenes
3029,Pseudomonas phage LY218,Pseudomonas aeruginosa
3030,Escherichia phage sortkaff,Escherichia coli
3031,Escherichia phage bob,Escherichia coli
3032,Pseudomonas phage vB_PaeP_PE3,Pseudomonas aeruginosa
3033,Alteromonas phage vB_AmeM_PT11-V22,Alteromonas sp.
3034,Staphylococcus phage vB_SauS-SAP27,Staphylococcus aureus subsp. aureus RN4220
3035,Acinetobacter phage vB_AbaP_APK48,Acinetobacter baumannii
3036,Pectobacterium phage Q19,Pectobacterium carotovorum
3037,Thermus virus P74-26,Unknown
3038,Staphylococcus virus Baq_Sau1,Staphylococcus aureus subsp. aureus RN4220
3039,Staphylococcus phage SA75,Staphylococcus aureus subsp. aureus RN4220
3040,Escherichia phage SP22,Escherichia
3041,Paenibacillus phage phiERICV,Paenibacillus larvae
3042,Enterobacter phage vB_EclM_CIP9,Enterobacter cloacae
3043,Enterobacter phage LAU1,Enterobacter hormaechei subsp. xiangfangensis
3044,Escherichia phage teqhad,Escherichia coli
3045,Escherichia phage teqhal,Escherichia coli
3046,Escherichia phage teqsoen,Escherichia coli
3047,Escherichia phage teqskov,Escherichia coli
3048,Escherichia phage teqdroes,Escherichia coli
3049,Escherichia phage humlepung,Escherichia coli
3050,Escherichia phage ukendt,Escherichia coli
3051,Escherichia phage garuso,Escherichia coli
3052,Escherichia phage grams,Escherichia coli
3053,Escherichia phage altidsur,Escherichia coli
3054,Escherichia phage vojen,Escherichia coli
3055,Escherichia phage mellemsur,Escherichia coli
3056,Escherichia phage nepoznato,Escherichia coli
3057,Escherichia phage aaroes,Escherichia coli
3058,Escherichia phage muut,Escherichia coli
3059,Escherichia phage kaaroe,Escherichia coli
3060,Escherichia phage rolling,Escherichia coli
3061,Escherichia phage ime,Escherichia coli
3062,Escherichia phage heid,Escherichia coli
3063,Escherichia phage nomo,Escherichia coli
3064,Escherichia phage mogra,Escherichia coli
3065,Escherichia phage momo,Escherichia coli
3066,Escherichia phage ityhuna,Escherichia coli
3067,Escherichia phage glasur,Escherichia coli
3068,Escherichia phage arall,Escherichia coli
3069,Escherichia phage skuden,Escherichia coli
3070,Escherichia phage orkinos,Escherichia coli
3071,Escherichia phage mistaenkt,Escherichia coli
3072,Escherichia phage sortregn,Escherichia coli
3073,Escherichia phage welsh,Escherichia coli
3074,Escherichia phage moha,Escherichia coli
3075,Escherichia phage aalborv,Escherichia coli
3076,Escherichia phage aldrigsur,Escherichia coli
3077,Escherichia phage inoa,Escherichia coli
3078,Escherichia phage flopper,Escherichia coli
3079,Escherichia phage naswa,Escherichia coli
3080,Escherichia phage tonn,Escherichia coli
3081,Escherichia phage isim,Escherichia coli
3082,Escherichia phage nieznany,Escherichia coli
3083,Escherichia phage lillemer,Escherichia coli
3084,Escherichia phage haarsle,Escherichia coli
3085,Escherichia phage inny,Escherichia coli
3086,Escherichia phage damhaus,Escherichia coli
3087,Escherichia phage pinkbiff,Escherichia coli
3088,Escherichia phage tunzivis,Escherichia coli
3089,Escherichia phage fjerdesal,Escherichia coli
3090,Escherichia phage tuinn,Escherichia coli
3091,Escherichia phage egaa,Escherichia coli
3092,Escherichia phage megetsur,Escherichia coli
3093,Escherichia phage dhaeg,Escherichia coli
3094,Escherichia phage Andreotti,Escherichia coli
3095,Escherichia phage nataliec,Escherichia coli
3096,Escherichia phage magaca,Escherichia coli
3097,Escherichia phage tonnikala,Escherichia coli
3098,Escherichia phage adrianh,Escherichia coli
3099,Escherichia phage kvi,Escherichia coli
3100,Escherichia phage buks,Escherichia coli
3101,Escherichia phage forsur,Escherichia coli
3102,Escherichia phage tuntematon,Escherichia coli
3103,Escherichia phage finno,Escherichia coli
3104,Escherichia phage atuna,Escherichia coli
3105,Escherichia phage dhabil,Escherichia coli
3106,Escherichia phage mobillu,Escherichia coli
3107,Escherichia phage sortsyn,Escherichia coli
3108,Escherichia phage usur,Escherichia coli
3109,Escherichia phage smaasur,Escherichia coli
3110,Escherichia phage nimi,Escherichia coli
3111,Escherichia phage pangalan,Escherichia coli
3112,Escherichia phage mckay,Escherichia coli
3113,Escherichia phage naam,Escherichia coli
3114,Escherichia phage alia,Escherichia coli
3115,Escherichia phage allfine,Escherichia coli
3116,Escherichia phage tinuso,Escherichia coli
3117,Escherichia phage bumzen,Escherichia coli
3118,Escherichia phage dune,Escherichia coli
3119,Escherichia phage warpig,Escherichia coli
3120,Escherichia phage tunus,Escherichia coli
3121,Escherichia phage radambza,Escherichia coli
3122,Escherichia phage herni,Escherichia coli
3123,Escherichia phage tonijn,Escherichia coli
3124,Escherichia phage navn,Escherichia coli
3125,Escherichia phage tiwna,Escherichia coli
3126,Escherichia phage ekra,Escherichia coli
3127,Escherichia phage outra,Escherichia coli
3128,Escherichia phage nom,Escherichia coli
3129,Escherichia phage tootiki,Escherichia coli
3130,Escherichia phage anhysbys,Escherichia coli
3131,Escherichia phage nomine,Escherichia coli
3132,Escherichia phage jat,Escherichia coli
3133,Escherichia phage moskry,Escherichia coli
3134,Clostridium phage JD032,Clostridioides difficile
3135,Klebsiella phage N1M2,Klebsiella aerogenes
3136,Escherichia phage JN01,Escherichia coli O157
3137,Escherichia phage 2725-N35,Escherichia
3138,Proteus phage P16-2532,Proteus mirabilis
3139,Proteus phage 2207-N35,Proteus mirabilis
3140,Flavobacterium phage fF4,Flavobacterium columnare NBRC 100251 = ATCC 23463
3141,Escherichia virus Ec_Makalu_003,Escherichia coli
3142,Escherichia virus Ec_Makalu_001,Escherichia coli
3143,Enterococcus phage PBEF129,Enterococcus faecalis
3144,Acinetobacter phage vB_AbaP_Lazarus,Acinetobacter baumannii
3145,Vibrio phage VH1_2019,Vibrio
3146,Vibrio phage VH2_2019,Vibrio
3147,Brevundimonas phage vB_BsubS-Delta,Brevundimonas subvibrioides ATCC 15264
3148,Sphaerotilus phage vB_SnaP-R1,Sphaerotilus natans
3149,Wolbachia phage WO,Wolbachia
3150,Wolbachia phage WO,Wolbachia sp. wMel_KL
3151,Wolbachia phage WO,Wolbachia sp. wMel_AMD
3152,Acinetobacter phage vB_AbaM_PhT2,Acinetobacter baumannii
3153,Bacillus virus SRT01hs,Bacillus safensis
3154,Pseudomonas phage PN05,Pseudomonas syringae pv. actinidiae
3155,Microbacterium phage SonOfLevi,Microbacterium foliorum
3156,Mycobacterium phage CactusJack,Mycolicibacterium smegmatis MC2 155
3157,Gordonia phage Kuwabara,Gordonia
3158,Mycobacterium phage KilKor,Mycolicibacterium smegmatis MC2 155
3159,Mycobacterium phage Mabel,Mycolicibacterium smegmatis MC2 155
3160,Cronobacter phage vB_CsaP_009,Cronobacter sakazakii
3161,Salmonella phage vB_SenS_SB15,Salmonella enterica subsp. enterica serovar Braenderup
3162,Salmonella phage vB_SenM_SB18,Salmonella enterica subsp. enterica serovar Infantis
3163,Escherichia phage vB_EcoP_PHB19,Escherichia coli
3164,Escherichia phage vB_EcoP_PHB20,Escherichia coli
3165,Siphoviridae phage MA12,Pectobacterium carotovorum
3166,Escherichia phage vB_Eco4M-7,Escherichia sp.
3167,Synechococcus phage S-LKM3,Synechococcus sp. WH 8102
3168,Prochlorococcus phage P-TIM75,Prochlorococcus marinus subsp. pastoris str. CCMP1986
3169,T4-like cyanophage sp.,Unknown
3170,T4-like phage sp.,Unknown
3171,Acinetobacter phage Abp9,Acinetobacter
3172,Aeromonas phage PS2,Aeromonas hydrophila
3173,Escherichia phage vB_EcoS-DELF2,Escherichia coli
3174,Pectobacterium phage MA14,Pectobacterium carotovorum
3175,Cutibacterium phage P104B,Cutibacterium acnes
3176,Arthrobacter phage Adolin,Sinomonas atrocyanea
3177,Cutibacterium phage P107C,Cutibacterium acnes
3178,Mycobacterium phage Lephleur,Mycolicibacterium smegmatis MC2 155
3179,Cutibacterium phage P107A,Cutibacterium acnes
3180,Arthrobacter phage LilStuart,Arthrobacter sp. ATCC 21022
3181,Mycobacterium phage Roary,Mycolicibacterium smegmatis MC2 155
3182,Microbacterium phage Matzah,Microbacterium paraoxydans
3183,Cutibacterium phage P108C,Cutibacterium acnes
3184,Microbacterium phage Terij,Microbacterium paraoxydans
3185,Gordonia phage Gudmit,Gordonia terrae
3186,Mycobacterium phage BirdsNest,Mycolicibacterium smegmatis MC2 155
3187,Mycobacterium phage Onyinye,Mycolicibacterium smegmatis MC2 155
3188,Cutibacterium phage P106I,Cutibacterium acnes
3189,Cutibacterium phage P106L,Cutibacterium acnes
3190,Cutibacterium phage P106M,Cutibacterium acnes
3191,Cutibacterium phage P106A,Cutibacterium acnes
3192,Cutibacterium phage P106C,Cutibacterium acnes
3193,Mycobacterium phage Imvubu,Mycolicibacterium smegmatis MC2 155
3194,Gordonia phage Opie,Gordonia terrae
3195,Arthrobacter phage LouisXIV,Arthrobacter sp. ATCC 21022
3196,Mycobacterium phage Cintron,Mycolicibacterium smegmatis MC2 155
3197,Mycobacterium phage Noelle,Mycolicibacterium smegmatis MC2 155
3198,Gordonia phage Volt,Gordonia terrae
3199,Mycobacterium phage P28Green,Mycolicibacterium smegmatis MC2 155
3200,Mycobacterium phage Atkinbua,Mycolicibacterium smegmatis MC2 155
3201,Flavobacterium phage vB_FspM_lotta8-1,Flavobacterium sp. LMO8
3202,Flavobacterium phage vB_FspM_lotta8-2,Flavobacterium sp. LMO8
3203,Flavobacterium phage vB_FspM_pippi8-1,Flavobacterium sp. LMO8
3204,Flavobacterium phage vB_FspS_filifjonk9-1,Flavobacterium sp. LMO9
3205,Flavobacterium phage vB_FspS_hattifnatt9-1,Flavobacterium sp. LMO9
3206,Flavobacterium phage vB_FspS_hemulen6-1,Flavobacterium sp. LMO6
3207,Flavobacterium phage vB_FspS_hemulen6-2,Flavobacterium sp. LMO6
3208,Flavobacterium phage vB_FspS_hemulen9-1,Flavobacterium sp. LMO9
3209,Flavobacterium phage vB_FspS_laban6-1,Flavobacterium sp. LMO6
3210,Flavobacterium phage vB_FspS_lillamy9-1,Flavobacterium sp. LMO9
3211,Flavobacterium phage vB_FspS_lillamy9-2,Flavobacterium sp. LMO9
3212,Flavobacterium phage vB_FspS_lillamy9-3,Flavobacterium sp. LMO9
3213,Flavobacterium phage vB_FspS_lillamy9-4,Flavobacterium sp. LMO9
3214,Flavobacterium phage vB_FspS_lillamy9-5,Flavobacterium sp. LMO9
3215,Flavobacterium phage vB_FspS_lillamy9-6,Flavobacterium sp. LMO9
3216,Flavobacterium phage vB_FspS_lillamy9-7,Flavobacterium sp. LMO9
3217,Flavobacterium phage vB_FspS_morran9-1,Flavobacterium sp. LMO9
3218,Flavobacterium phage vB_FspS_mumin6-1,Flavobacterium sp. LMO6
3219,Flavobacterium phage vB_FspS_mumin6-2,Flavobacterium sp. LMO6
3220,Flavobacterium phage vB_FspS_mumin6-3,Flavobacterium sp. LMO6
3221,Flavobacterium phage vB_FspS_mumin6-4,Flavobacterium sp. LMO6
3222,Flavobacterium phage vB_FspS_mumin9-1,Flavobacterium sp. LMO9
3223,Flavobacterium phage vB_FspS_mumin9-2,Flavobacterium sp. LMO9
3224,Flavobacterium phage vB_FspS_mumin9-3,Flavobacterium sp. LMO9
3225,Flavobacterium phage vB_FspS_mymlan6-1,Flavobacterium sp. LMO6
3226,Flavobacterium phage vB_FspS_mymlan6-2,Flavobacterium sp. LMO6
3227,Flavobacterium phage vB_FspS_sniff9-1,Flavobacterium sp. LMO9
3228,Flavobacterium phage vB_FspS_sniff9-2,Flavobacterium sp. LMO9
3229,Flavobacterium phage vB_FspS_snork6-1,Flavobacterium sp. LMO6
3230,Flavobacterium phage vB_FspS_snork6-2,Flavobacterium sp. LMO6
3231,Flavobacterium phage vB_FspS_snork9-1,Flavobacterium sp. LMO9
3232,Flavobacterium phage vB_FspS_snusmum6-1,Flavobacterium sp. LMO6
3233,Flavobacterium phage vB_FspS_snusmum6-2,Flavobacterium sp. LMO6
3234,Flavobacterium phage vB_FspS_snusmum6-3,Flavobacterium sp. LMO6
3235,Flavobacterium phage vB_FspS_snusmum9-1,Flavobacterium sp. LMO9
3236,Flavobacterium phage vB_FspS_stinky9-1,Flavobacterium sp. LMO9
3237,Flavobacterium phage vB_FspS_tant8-1,Flavobacterium sp. LMO8
3238,Flavobacterium phage vB_FspS_tooticki6-1,Flavobacterium sp. LMO6
3239,Flavobacterium phage vB_FspS_tooticki9-1,Flavobacterium sp. LMO9
3240,Microbacterium phage Chamuel,Microbacterium foliorum
3241,Mycobacterium phage Chupacabra,Mycolicibacterium smegmatis
3242,Mycobacterium phage Phalm,Mycolicibacterium smegmatis MC2 155
3243,Mycobacterium phage Megiddo,Mycolicibacterium smegmatis MC2 155
3244,Mycobacterium phage Glaske,Mycolicibacterium smegmatis MC2 155
3245,Vibrio phage VP-HS15,Vibrio parahaemolyticus
